sn|psn|x_coord|y_coord
80650000|80650000|1151422.00000000|99265.27360000
80655000|80655000|1151422.97160000|99315.26820000
80660000|80660000|1151424.12639999|99371.27140000
80670000|80670000|1151425.12360001|99421.26760000
80720000|80720000|1151322.11720000|99273.32060000
80710000|80710000|1151323.09299999|99323.32720000
80680000|80680000|1151294.62480000|99398.93359999
80690000|80690000|1151344.62459999|99397.90800001
